GAdenoma	GCarcinoma	GQuimio
1555_f_at	6.94152799076712	6.86634378874129	6.90362269083549
1557_at	5.54622067484547	5.98422324270336	5.54444694317793
1559_at	5.29135939906865	5.3854822348393	5.23495077254438
1561_at	6.86570249050495	7.00645189845761	6.85374338256417
1562_g_at	6.06227716525344	6.06494512963295	6.09384379432511
1566_at	6.42841776124437	6.38661255268904	6.35286439237874
1567_at	6.16741621027672	6.13431873867379	6.17851372517356
1569_r_at	7.24932009443837	7.39186244832991	7.20138722764066
1570_f_at	2.91487505848683	2.91567981229409	2.86244026373381
1571_f_at	4.18905217425837	4.8595667077595	4.41495697724307
1573_at	7.83658106125518	7.89576017460317	7.76658396384604
1576_g_at	5.78417308132805	5.61508371038285	5.77106656746329
1579_at	5.19524557635142	5.35966464781164	5.29137561985101
1580_f_at	5.12089496147106	5.14695387225081	5.11046080905283
1582_at	5.05274819707908	5.16203486321863	5.21932589200738
1584_at	4.28130368212882	4.90124068300273	4.34127140774625
1588_at	5.37812067956134	5.53140861417774	5.47866996500431
159_at	6.28495709916675	5.82054528993227	6.15366332656572
1595_at	7.1681888213717	6.96819321872448	7.07422063379995
1600_at	4.50084981421023	4.92092686913395	4.63693430151109
160021_r_at	2.79723527356978	2.93807681290235	2.81213003891853
160023_at	5.36589946184757	5.46267508281313	5.41321162550818
160024_at	7.03441197482592	7.01962320616877	6.91088793257676
160028_s_at	5.10788736254184	5.12240417209077	5.06092624581189
160029_at	5.49969526345565	5.54936432225468	5.76679038497615
160034_s_at	5.66350679866385	5.75797234150362	5.61257605078946
160035_at	4.53567376475624	4.59621986400274	4.53591137515648
160036_at	6.18089828573493	6.26364893966792	6.16635876662126
160037_at	7.40625153088158	7.76666427268897	7.50586290943209
160038_s_at	6.66372840272525	6.70777271381319	6.6386827024408
160039_at	6.18886789951782	6.20222228071244	6.16854874320212
160040_at	5.2012580864695	5.05434765882812	4.43608919968891
160041_at	7.32232655940872	7.59935874382644	7.4593428714696
1604_at	6.43258343535765	6.32703706251467	6.51002128876762
1605_g_at	5.16038914293589	5.04743550708546	5.01913979443944
1606_at	6.81838414313148	6.65064488776442	6.61744505584104
1607_at	5.78298704910423	5.9619755275926	5.77662396494077
1608_at	6.85597418137349	6.6629548745545	6.76145266709207
1609_g_at	6.02688407066306	6.41242461068863	6.1420151496852
161_at	3.29025104645137	3.23796172027054	3.15063573329571
1610_s_at	3.13567535514057	3.47024894194214	3.18109838903302
1611_s_at	3.21308845934523	3.32232560305296	3.23769124824128
1613_s_at	4.96027741427713	5.06454790249418	4.94892022025964
1614_s_at	5.29724754707407	5.42830499888199	5.41063912775302
1615_at	6.32836299453102	6.65346412544529	6.41553456380679
1617_at	7.38874970925766	7.59332893665151	7.39948451386825
1618_at	3.25682450318531	3.29827210068398	3.24085507062313
1619_g_at	5.66350096230217	5.50209840619873	5.67286537154624
1620_at	6.00451213211802	6.36530185573598	6.39083238243769
1621_at	4.43751088313378	4.26326426699024	4.29548401208693
1622_at	7.46457669140721	7.76021329988513	7.48887957304226
1623_s_at	4.26293001895321	4.29411397749474	4.28133926441476
1626_at	3.80305842471216	3.88016036209518	3.86998984322163
1628_at	4.38439911293383	4.41476251062614	4.36622971620146
1631_at	6.50741827811542	6.51405661706535	6.46994757968353
1632_at	7.43598684070567	7.32574805159517	7.42459504504401
1634_s_at	4.49515976063506	4.57153758315975	4.58333034031196
1638_at	5.37879703576525	5.8524312563911	5.45540285625789
164_at	7.64869217557041	7.64428682760009	7.59100276148428
1645_at	5.64876716279102	5.65238410947436	5.62721216676026
1646_at	3.87028377201052	3.90610652969612	3.81456320693497
1649_at	6.81538988456371	6.77689429691822	6.70847494848935
165_g_at	4.94203700995618	4.9620541062121	4.80643132536866
1650_g_at	8.82273039824132	8.76691305472778	8.79695132758185
1652_at	6.9929527685148	7.07985002551625	7.14792841097423
1654_at	6.36509421727927	6.82959657785246	6.47616710091717
1655_s_at	4.13164126818051	4.22956573971104	4.11627161262908
1656_s_at	6.38892342174692	6.24592489595345	6.38797140448674
1657_at	3.56624638815435	3.8226803148468	3.53944495991673
1658_g_at	4.17508548296825	4.4319238766349	4.14447745935244
166_at	7.46165762451496	7.48880091860124	7.44612321245572
1661_i_at	6.86659441024368	6.87112677148085	6.86482724997762
1662_r_at	10.4015830428505	10.2914295665975	10.4555561591846
1663_at	7.65454924842174	7.57377808704776	7.56044706694554
1665_s_at	7.30741277702273	8.15737480075117	7.5941911140786
1666_at	3.55625208366511	3.62586415934714	3.62544416998343
1667_s_at	8.5823578818701	8.75517921891309	8.61602480605604
1670_at	6.80426792019559	7.23689253202167	6.65610963282208
1672_f_at	5.77088508305416	6.24240569750186	5.88529829057649
1679_at	3.1539063480938	3.21643306324924	3.18967051836081
1681_at	7.37494614606398	7.47827566053843	7.27660458000382
1682_s_at	6.6803436751943	6.50747838531571	6.64462988037743
1683_at	8.65692757910923	8.32226062904118	8.5058050005223
1684_s_at	7.70526499549314	7.67885699937456	7.62121968415885
1687_s_at	6.42787646869922	6.8480427251136	6.51534719167376
1689_at	6.9345676774873	6.93354607167289	6.88830401501571
169_at	4.97761312686758	5.20346286992199	5.05560111279102
1690_at	4.86545860110859	4.82322935479153	4.861972646376
1691_at	5.23219191363877	5.27465195351931	5.22790212728903
1692_s_at	6.33906238980566	6.36606595001691	6.30397898098282
1694_s_at	6.59888738062468	6.83503951919769	6.58291197759063
1697_s_at	4.08502639651494	4.3462432593204	4.23296518323092
1699_at	4.53889332779782	4.593079583852	4.61989097433606
170_at	6.90595268383448	6.96848226290647	6.96218437521496
1700_at	8.21988198934565	8.21781891535313	8.19554706855792
1701_at	5.65626914328107	5.83242983709896	5.69047779419154
1702_at	4.53881740348892	4.48648983751908	4.44306164741431
1704_at	7.24478890542037	7.25181708589969	7.20596770252207
1705_s_at	5.00970175382378	5.0433103251147	4.9434639138931
1712_s_at	5.66671251614891	5.73186606914031	5.70782036067222
1716_at	6.55705983370066	6.64472177233146	6.49143051639248
172_at	6.95660411536693	7.17756833370615	7.13630907125956
1720_at	4.30125606130254	4.32338323735846	4.29413445182193
1723_g_at	5.57401878275125	6.07038371408055	5.67739393738167
1724_at	7.25497138737031	7.36113856124599	7.24866647385849
1726_at	7.19919751669372	7.35854290164724	7.18254048903702
1727_at	3.99047297326356	4.16737292318189	3.96152517009064
173_at	4.75150444546371	5.30634830830183	5.0130835821648
1730_s_at	6.73062024561287	6.83122896853992	6.7603496065078
1732_at	3.94239060730793	3.95045721312536	3.876907659547
1733_at	7.11120097549287	6.1606133141397	6.52133940941196
1734_at	5.78851382048477	5.89207073541678	5.78697582739159
1735_g_at	8.32734433480231	8.32264519788758	8.34435715071519
1738_at	6.51219609322154	6.62486469115809	6.5196587634887
1739_at	4.13308856577406	4.33940817616381	4.22560478813182
1740_g_at	5.76216970310332	6.27590900278479	5.95592913921508
1743_s_at	3.67359911606981	3.94994933683121	3.77366168023597
1744_at	6.84367299644744	6.90696734405636	6.75940899029514
1745_at	4.05901674622724	4.17390190493825	4.15808570413515
1746_s_at	7.40418847964852	7.66009647682847	7.45822659346034
1747_at	7.10217768699544	7.75697953287129	7.20460717172376
1748_s_at	7.03508586180914	6.95684826454757	6.95908634859854
1750_at	8.05937603142968	8.5332930833128	8.20773223708758
1755_i_at	6.07567909801851	5.99479568351259	6.09914921587295
1756_f_at	4.67138855907819	4.82892444787053	4.70842617032931
1757_i_at	2.62332135744173	2.68491569631065	2.61509864605328
1758_r_at	2.5886629505107	2.62751961533364	2.55488260148593
1759_f_at	5.34857164210787	5.41330541180362	5.32233518749856
1760_s_at	6.41865892466389	6.55320652745875	6.57125312964214
1762_at	5.56196654756913	5.24250403189723	5.44600985637554
1763_at	6.48794381073806	6.34681389217318	6.41195808257729
1765_at	5.87377827570289	5.94075798043039	5.83279185808045
1766_g_at	5.68147205874603	5.86069425446105	5.71621075487534
1769_at	6.29599192231085	6.53383975833251	6.38179173279112
